id,created_at,text,source,geo,place,retweet_count,favorite_count,favorited,retweeted,sentiment,positive,negative
1.6042544381972808e+18,Sat Dec 17 23:17:18 +0000 2022,🔥 BTC in descending channel❓ Check the post https://t.co/njo9xfceVR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,2.0,False,False,positive,0.9999988079071045,1.2106436315661995e-06
1.6042519562052936e+18,Sat Dec 17 23:07:26 +0000 2022,BTC broke down the RSI Support for BITSTAMP:BTCUSD by bOnchain #bitcoin #crypto #btc $btc https://t.co/iWAAm9RLFT https://t.co/vpbbUfgyuK,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,1.0,2.3665172932396672e-08
1.6042519288205885e+18,Sat Dec 17 23:07:20 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/llOFGPXB6I #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.2137857769166658e-08
1.6042518272681902e+18,Sat Dec 17 23:06:55 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.00934799574315548
1.6042516981968937e+18,Sat Dec 17 23:06:25 +0000 2022,Huge BTCUSDT Falling Wedge for BINANCE #Trading #bitcoin via https://t.co/yNOfVDx5DP https://t.co/hpPTwaL5X3,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,0.0,0.0,False,False,positive,1.0,1.3712224064543754e-11
1.6042515910867845e+18,Sat Dec 17 23:05:59 +0000 2022,Instead of watching movies i watch live #Bitcoin chart. This is more exciting than any action movie 🙃,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0.0,3.0,False,False,negative,0.16485348343849182,0.8351464867591858
1.604249441539707e+18,Sat Dec 17 22:57:27 +0000 2022,SPOT OPPORTUNITY ON LTC  for KUCOIN:LTCUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/x4iIgvkRGI https://t.co/vbyJiQlcEF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9727489948272705,0.02725103311240673
1.604249411776807e+18,Sat Dec 17 22:57:19 +0000 2022,🔥 SPOT OPPORTUNITY ON LTC !!!❓ Check the post https://t.co/vNHocr6dr6 #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998939037322998,0.00010607253352645785
1.6042493525367562e+18,Sat Dec 17 22:57:05 +0000 2022,#fibonacci and the universe: fibonacci and the universe Bitcoin / United States Dollar COINBASE:BTCUSD thecryer – S… https://t.co/3tII8Eusrq,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,negative,0.16564862430095673,0.8343513607978821
1.60424817328282e+18,Sat Dec 17 22:52:24 +0000 2022,Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dir… https://t.co/9eoAh1I7Vf,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,10.0,51.0,False,False,positive,0.9999988079071045,1.1437989542173455e-06
1.6042476301877453e+18,Sat Dec 17 22:50:15 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook… https://t.co/UAznP0IuZx,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,positive,0.9997597336769104,0.00024026664323173463
1.6042469191103283e+18,Sat Dec 17 22:47:25 +0000 2022,BTCUSDT - Bearish Gartley - Correlation to USD INDEX  for BINANCE:BTCUSDT by hmaroudas #bitcoin #crypto #btc $btc… https://t.co/nOSYJHTcgq,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9999997615814209,2.228776025958723e-07
1.604246891713151e+18,Sat Dec 17 22:47:19 +0000 2022,🔥 BTCUSDT - Bearish Gartley - Correlation to USD INDEX❓ Check the post https://t.co/ygxVWxNBTt #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False,positive,1.0,2.1182020581989036e-09
1.6042444567897088e+18,Sat Dec 17 22:37:38 +0000 2022,ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance for BINANCE:ETHUSDT by hmaroudas #bitcoin… https://t.co/L8rZwW51Ri,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,negative,0.059607237577438354,0.9403927326202393
1.6042443774586757e+18,Sat Dec 17 22:37:19 +0000 2022,🔥 ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance❓ Check the post https://t.co/Hk0NsX4SQ3 #bitcoin… https://t.co/njvsxY1afe,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9860593676567078,0.013940645381808281
1.6042428370501222e+18,Sat Dec 17 22:31:12 +0000 2022,This support looks legit for BITSTAMP:BTCUSD by Finnovin #Bitcoin $BTC https://t.co/vo1Qc30b97 https://t.co/3LMrpiNGPn,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999972581863403,2.7306673473503906e-06
1.6042428114732483e+18,Sat Dec 17 22:31:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Finnovin's idea on TradingView below. https://t.co/X61DgcTQPy,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.918822705745697,0.08117729425430298
1.6042425921573683e+18,Sat Dec 17 22:30:14 +0000 2022,RT @bitcoinagile: Huge BTCUSDT Falling Wedge for BINANCE:BTCUSDT by Traders_Endeavors #Bitcoin $BTC https://t.co/tCXTZLIHcQ https://t.co/Zu…,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,2.0,0.0,False,False,positive,0.9999998807907104,6.242891714691723e-08
1.6042418879714017e+18,Sat Dec 17 22:27:26 +0000 2022,COMPUSDT Initial Long - Oversold for BINANCE:COMPUSDT by unknownpower #bitcoin #crypto #btc $btc… https://t.co/oj2q3G5MXF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.5571480393409729,0.4428519606590271
1.6042418600290304e+18,Sat Dec 17 22:27:19 +0000 2022,🔥 COMPUSDT Initial Long - Oversold❓ Check the post https://t.co/S5S2dySe9S #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998645782470703,0.0001353652769466862
1.6042400175216148e+18,Sat Dec 17 22:20:00 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook - The Dail… https://t.co/MuhwydROAq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999964237213135,3.544236506058951e-06
1.6042393661000294e+18,Sat Dec 17 22:17:24 +0000 2022,BTC for BINANCE:BTCUSDT by BlueWhale90 #bitcoin #crypto #btc $btc https://t.co/w4nIuCx871 https://t.co/1ZgwiNyXvQ,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,1.9552390817523246e-09
1.604239338807722e+18,Sat Dec 17 22:17:18 +0000 2022,🔥 BTC❓ Check the post https://t.co/6dI3XQ40rV #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,8.52844461718405e-09
1.6037742914214339e+18,Fri Dec 16 15:29:22 +0000 2022,"Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZHaHiOev","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,603.0,5081.0,False,False,positive,0.9999998807907104,1.1440373981486118e-07
1.6016166411580498e+18,Sat Dec 10 16:35:38 +0000 2022,R.I.P #Bitcoin Rainbow Chart https://t.co/yh4PxtmYJr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,704.0,3743.0,False,False,positive,0.9902499318122864,0.009750071913003922
1.6042649926095503e+18,Sat Dec 17 23:59:14 +0000 2022,ETHUSD Weakness.. alike the Crypto Market for COINBASE:ETHUSD by WillSebastian #bitcoin #crypto #btc $btc… https://t.co/rpDqjhOSo7,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999998807907104,6.245416273031879e-08
1.6042645043003924e+18,Sat Dec 17 23:57:18 +0000 2022,🔥 ETHUSD Weakness.. (alike the Crypto Market)❓ Check the post https://t.co/O9iCSUt6gO #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.204606358580108e-10
1.604261992214274e+18,Sat Dec 17 23:47:19 +0000 2022,🔥 BCTUSDT Shorts❓ Check the post https://t.co/vO7qBQCIoi #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,1.2803706983532948e-09
1.6042605459555246e+18,Sat Dec 17 23:41:34 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.00934799574315548
1.6042596266477076e+18,Sat Dec 17 23:37:55 +0000 2022,A BUY STEP FOR POLKADOT  for KUCOIN:DOTUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/srr2MGELHa https://t.co/1cIfWgBbwC,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,3.0,False,False,positive,0.9999997615814209,2.5311089757451555e-07
1.6042594792892006e+18,Sat Dec 17 23:37:20 +0000 2022,🔥 A BUY STEP FOR POLKADOT !!!❓ Check the post https://t.co/vtHzWZqFIR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.4141225907214903e-08
1.6042579093317468e+18,Sat Dec 17 23:31:05 +0000 2022,Thoughts on $BTC #Bitcoin! See Baharmostofi's idea on TradingView below. https://t.co/9DVcotltrA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.7217015027999878,0.2782984972000122
1.604257245831e+18,Sat Dec 17 23:28:27 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794525120312755e-07
1.6042571599652045e+18,Sat Dec 17 23:28:07 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794525120312755e-07
1.6042570320051978e+18,Sat Dec 17 23:27:36 +0000 2022,BTC broke down the RSI Support for BINANCE:BTCUSDT by bOnchain #bitcoin #crypto #btc $btc https://t.co/nQzwj8p2z3 https://t.co/huwJyZcn1t,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,6.004345465271399e-09
1.6042569563189821e+18,Sat Dec 17 23:27:18 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/sddnQhMJrr #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False,positive,0.9999996423721313,3.057817536955554e-07
1.6042569253232353e+18,Sat Dec 17 23:27:11 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794525120312755e-07
1.6042561646988206e+18,Sat Dec 17 23:24:09 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart #binance #bnb https://t.co/9ZNHk5mAvo,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,1.0,5.0,False,False,positive,0.9999936819076538,6.3677371144876815e-06
1.6042555876380836e+18,Sat Dec 17 23:21:52 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.00934799574315548
1.6042550080104407e+18,Sat Dec 17 23:19:34 +0000 2022,THE DAILY HODL: Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Ou… https://t.co/bMs0AS6n88,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,1.0,False,False,positive,0.9987176656723022,0.0012823529541492462
1.60425467481054e+18,Sat Dec 17 23:18:14 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/roye4NVxiZ,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,0.0,1.0,False,False,positive,0.9999781847000122,2.1831001504324377e-05
1.6042544381972808e+18,Sat Dec 17 23:17:18 +0000 2022,🔥 BTC in descending channel❓ Check the post https://t.co/njo9xfceVR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,2.0,False,False,positive,0.9999988079071045,1.2106436315661995e-06
1.6042519562052936e+18,Sat Dec 17 23:07:26 +0000 2022,BTC broke down the RSI Support for BITSTAMP:BTCUSD by bOnchain #bitcoin #crypto #btc $btc https://t.co/iWAAm9RLFT https://t.co/vpbbUfgyuK,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,1.0,2.3665172932396672e-08
1.6042519288205885e+18,Sat Dec 17 23:07:20 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/llOFGPXB6I #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.2137857769166658e-08
1.6042518272681902e+18,Sat Dec 17 23:06:55 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.00934799574315548
1.6042516981968937e+18,Sat Dec 17 23:06:25 +0000 2022,Huge BTCUSDT Falling Wedge for BINANCE #Trading #bitcoin via https://t.co/yNOfVDx5DP https://t.co/hpPTwaL5X3,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,0.0,0.0,False,False,positive,1.0,1.3712224064543754e-11
1.6042515910867845e+18,Sat Dec 17 23:05:59 +0000 2022,Instead of watching movies i watch live #Bitcoin chart. This is more exciting than any action movie 🙃,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0.0,3.0,False,False,negative,0.16485348343849182,0.8351464867591858
1.604249441539707e+18,Sat Dec 17 22:57:27 +0000 2022,SPOT OPPORTUNITY ON LTC  for KUCOIN:LTCUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/x4iIgvkRGI https://t.co/vbyJiQlcEF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9727489948272705,0.02725103311240673
1.604249411776807e+18,Sat Dec 17 22:57:19 +0000 2022,🔥 SPOT OPPORTUNITY ON LTC !!!❓ Check the post https://t.co/vNHocr6dr6 #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998939037322998,0.00010607253352645785
1.6042493525367562e+18,Sat Dec 17 22:57:05 +0000 2022,#fibonacci and the universe: fibonacci and the universe Bitcoin / United States Dollar COINBASE:BTCUSD thecryer – S… https://t.co/3tII8Eusrq,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,negative,0.16564862430095673,0.8343513607978821
1.60424817328282e+18,Sat Dec 17 22:52:24 +0000 2022,Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dir… https://t.co/9eoAh1I7Vf,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,10.0,51.0,False,False,positive,0.9999988079071045,1.1437989542173455e-06
1.6042476301877453e+18,Sat Dec 17 22:50:15 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook… https://t.co/UAznP0IuZx,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,0.0,False,False,positive,0.9997597336769104,0.00024026664323173463
1.6042469191103283e+18,Sat Dec 17 22:47:25 +0000 2022,BTCUSDT - Bearish Gartley - Correlation to USD INDEX  for BINANCE:BTCUSDT by hmaroudas #bitcoin #crypto #btc $btc… https://t.co/nOSYJHTcgq,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9999997615814209,2.228776025958723e-07
1.604246891713151e+18,Sat Dec 17 22:47:19 +0000 2022,🔥 BTCUSDT - Bearish Gartley - Correlation to USD INDEX❓ Check the post https://t.co/ygxVWxNBTt #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False,positive,1.0,2.1182020581989036e-09
1.6042444567897088e+18,Sat Dec 17 22:37:38 +0000 2022,ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance for BINANCE:ETHUSDT by hmaroudas #bitcoin… https://t.co/L8rZwW51Ri,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,negative,0.059607237577438354,0.9403927326202393
1.6042443774586757e+18,Sat Dec 17 22:37:19 +0000 2022,🔥 ETHUSDT-Positive After Reverse Head&amp;Shoulders - Into Resistance❓ Check the post https://t.co/Hk0NsX4SQ3 #bitcoin… https://t.co/njvsxY1afe,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9860593676567078,0.013940645381808281
1.6042428370501222e+18,Sat Dec 17 22:31:12 +0000 2022,This support looks legit for BITSTAMP:BTCUSD by Finnovin #Bitcoin $BTC https://t.co/vo1Qc30b97 https://t.co/3LMrpiNGPn,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999972581863403,2.7306673473503906e-06
1.6042428114732483e+18,Sat Dec 17 22:31:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Finnovin's idea on TradingView below. https://t.co/X61DgcTQPy,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.918822705745697,0.08117729425430298
1.6042425921573683e+18,Sat Dec 17 22:30:14 +0000 2022,RT @bitcoinagile: Huge BTCUSDT Falling Wedge for BINANCE:BTCUSDT by Traders_Endeavors #Bitcoin $BTC https://t.co/tCXTZLIHcQ https://t.co/Zu…,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,2.0,0.0,False,False,positive,0.9999998807907104,6.242891714691723e-08
1.6042418879714017e+18,Sat Dec 17 22:27:26 +0000 2022,COMPUSDT Initial Long - Oversold for BINANCE:COMPUSDT by unknownpower #bitcoin #crypto #btc $btc… https://t.co/oj2q3G5MXF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.5571480393409729,0.4428519606590271
1.6042418600290304e+18,Sat Dec 17 22:27:19 +0000 2022,🔥 COMPUSDT Initial Long - Oversold❓ Check the post https://t.co/S5S2dySe9S #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,0.9998645782470703,0.0001353652769466862
1.6042400175216148e+18,Sat Dec 17 22:20:00 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook - The Dail… https://t.co/MuhwydROAq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,0.0,0.0,False,False,positive,0.9999964237213135,3.544236506058951e-06
1.6042393661000294e+18,Sat Dec 17 22:17:24 +0000 2022,BTC for BINANCE:BTCUSDT by BlueWhale90 #bitcoin #crypto #btc $btc https://t.co/w4nIuCx871 https://t.co/1ZgwiNyXvQ,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,1.9552390817523246e-09
1.604239338807722e+18,Sat Dec 17 22:17:18 +0000 2022,🔥 BTC❓ Check the post https://t.co/6dI3XQ40rV #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,8.52844461718405e-09
1.6042390638753096e+18,Sat Dec 17 22:16:12 +0000 2022,BTC VS A1000x true reversal point  for BINANCE:BTCUSDT by Aadil1000x #Bitcoin $BTC https://t.co/w2wLCTVV5s https://t.co/fl2X0hJcjx,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False,positive,0.9999943971633911,5.627395694318693e-06
1.6042390364736758e+18,Sat Dec 17 22:16:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Aadil1000x's idea on TradingView below. https://t.co/snMcvoxUON,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.8821549415588379,0.1178450658917427
1.6037742914214339e+18,Fri Dec 16 15:29:22 +0000 2022,"Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZHaHiOev","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,603.0,5081.0,False,False,positive,0.9999998807907104,1.1440373981486118e-07
1.6016166411580498e+18,Sat Dec 10 16:35:38 +0000 2022,R.I.P #Bitcoin Rainbow Chart https://t.co/yh4PxtmYJr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,704.0,3743.0,False,False,positive,0.9902499318122864,0.009750071913003922
1.6042649926095503e+18,Sat Dec 17 23:59:14 +0000 2022,ETHUSD Weakness.. alike the Crypto Market for COINBASE:ETHUSD by WillSebastian #bitcoin #crypto #btc $btc… https://t.co/rpDqjhOSo7,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,0.9999998807907104,6.245416273031879e-08
1.6042645043003924e+18,Sat Dec 17 23:57:18 +0000 2022,🔥 ETHUSD Weakness.. (alike the Crypto Market)❓ Check the post https://t.co/O9iCSUt6gO #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.204606358580108e-10
1.604261992214274e+18,Sat Dec 17 23:47:19 +0000 2022,🔥 BCTUSDT Shorts❓ Check the post https://t.co/vO7qBQCIoi #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,1.2803706983532948e-09
1.6042605459555246e+18,Sat Dec 17 23:41:34 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,10.0,0.0,False,False,positive,0.9906519651412964,0.00934799574315548
1.6042596266477076e+18,Sat Dec 17 23:37:55 +0000 2022,A BUY STEP FOR POLKADOT  for KUCOIN:DOTUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/srr2MGELHa https://t.co/1cIfWgBbwC,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,3.0,False,False,positive,0.9999997615814209,2.5311089757451555e-07
1.6042594792892006e+18,Sat Dec 17 23:37:20 +0000 2022,🔥 A BUY STEP FOR POLKADOT !!!❓ Check the post https://t.co/vtHzWZqFIR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False,positive,1.0,2.4141225907214903e-08
1.6042579093317468e+18,Sat Dec 17 23:31:05 +0000 2022,Thoughts on $BTC #Bitcoin! See Baharmostofi's idea on TradingView below. https://t.co/9DVcotltrA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False,positive,0.7217015027999878,0.2782984972000122
1.604257245831e+18,Sat Dec 17 23:28:27 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794525120312755e-07
1.6042571599652045e+18,Sat Dec 17 23:28:07 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,603.0,0.0,False,False,positive,0.9999992847442627,6.794525120312755e-07
1.6042570320051978e+18,Sat Dec 17 23:27:36 +0000 2022,BTC broke down the RSI Support for BINANCE:BTCUSDT by bOnchain #bitcoin #crypto #btc $btc https://t.co/nQzwj8p2z3 https://t.co/huwJyZcn1t,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False,positive,1.0,6.004345465271399e-09
